invocation,candidate,label,t_us,overflow
49,12,2,11742007,0
49,12,3,11743426,0
49,12,5,11743449,0
49,13,0,11743450,0
49,13,1,11749480,0
49,13,4,11750914,0
49,14,0,11750914,0
49,14,1,11756949,0
49,14,2,11758402,0
49,14,3,11759817,0
49,14,5,11759842,0
49,15,0,11759843,0
49,15,1,11765877,0
49,15,4,11767292,0
49,16,0,11767293,0
49,16,1,11773328,0
49,16,2,11774781,0
49,16,3,11776196,0
49,16,8,11777833,0
50,1,0,11943550,0
50,1,1,11949636,0
50,1,4,11951069,0
50,2,0,11951070,0
50,2,1,11957104,0
50,2,4,11958523,0
50,3,0,11958524,0
50,3,1,11964559,0
50,3,4,11965981,0
50,4,0,11965982,0
50,4,1,11972012,0
50,4,2,11973470,0
50,4,3,11974892,0
50,4,5,11974911,0
50,5,0,11974912,0
50,5,1,11980943,0
50,5,2,11982396,0
50,5,3,11983815,0
50,5,5,11983820,0
50,6,0,11983821,0
50,6,1,11989852,0
50,6,4,11991274,0
50,7,0,11991275,0
50,7,1,11997310,0
50,7,4,11998743,0
50,8,0,11998744,0
50,8,1,12004779,0
50,8,2,12006232,0
50,8,3,12007647,0
50,8,5,12007671,0
50,9,0,12007672,0
50,9,1,12013706,0
50,9,4,12015127,0
50,10,0,12015128,0
50,10,1,12021159,0
50,10,4,12022599,0
50,11,0,12022600,0
50,11,1,12028634,0
50,11,2,12030087,0
50,11,3,12031502,0
50,11,8,12033143,0
51,1,0,12142607,0
51,1,1,12148696,0
51,1,4,12150135,0
51,2,0,12150136,0
51,2,1,12156170,0
51,2,4,12157590,0
51,3,0,12157591,0
51,3,1,12163625,0
51,3,4,12165068,0
51,4,0,12165068,0
51,4,1,12171099,0
51,4,4,12172526,0
51,5,0,12172527,0
51,5,1,12178561,0
51,5,2,12180015,0
51,5,3,12181437,0
51,5,5,12181462,0
51,6,0,12181463,0
51,6,1,12187497,0
51,6,4,12188931,0
51,7,0,12188931,0
51,7,1,12194966,0
51,7,2,12196420,0
51,7,3,12197834,0
51,7,5,12197837,0
51,8,0,12197838,0
51,8,1,12203872,0
51,8,2,12205326,0
51,8,3,12206740,0
51,8,5,12206747,0
51,9,0,12206748,0
51,9,1,12212783,0
51,9,2,12214236,0
51,9,3,12215651,0
51,9,8,12217288,0
52,1,0,12312866,0
52,1,1,12318952,0
52,1,2,12320406,0
52,1,3,12321828,0
52,1,5,12321835,0
52,2,0,12321836,0
52,2,1,12327871,0
52,2,2,12329325,0
52,2,3,12330739,0
52,2,5,12330750,0
52,3,0,12330751,0
52,3,1,12336786,0
52,3,2,12338240,0
52,3,3,12339654,0
52,3,5,12339671,0
52,4,0,12339672,0
52,4,1,12345706,0
52,4,2,12347160,0
52,4,3,12348575,0
52,4,5,12348609,0
52,5,0,12348610,0
52,5,1,12354645,0
52,5,4,12356091,0
52,6,0,12356091,0
52,6,1,12362122,0
52,6,2,12363580,0
52,6,3,12364994,0
52,6,8,12366632,0
53,1,0,12447015,0
53,1,1,12453105,0
53,1,2,12454558,0
53,1,3,12455981,0
53,1,8,12457618,0
54,1,0,12488089,0
54,1,1,12494178,0
54,1,2,12495632,0
54,1,3,12497055,0
54,1,8,12498692,0
55,1,0,12529166,0
55,1,1,12535256,0
55,1,4,12536678,0
55,2,0,12536679,0
55,2,1,12542713,0
55,2,2,12544167,0
55,2,3,12545589,0
55,2,5,12545595,0
55,3,0,12545596,0
55,3,1,12551627,0
55,3,2,12553084,0
55,3,3,12554499,0
55,3,5,12554508,0
55,4,0,12554509,0
55,4,1,12560539,0
55,4,2,12561993,0
55,4,3,12563412,0
55,4,5,12563443,0
55,5,0,12563444,0
55,5,1,12569475,0
55,5,4,12570899,0
55,6,0,12570899,0
55,6,1,12576933,0
55,6,2,12578387,0
55,6,3,12579802,0
55,6,5,12579837,0
55,7,0,12579838,0
55,7,1,12585872,0
55,7,2,12587326,0
55,7,3,12588740,0
55,7,5,12588751,0
55,8,0,12588752,0
55,8,1,12594786,0
55,8,2,12596240,0
55,8,3,12597655,0
55,8,7,12599292,0
55,9,0,12599293,0
55,9,1,12605327,0
55,9,2,12606781,0
55,9,3,12608195,0
55,9,8,12609829,0
56,1,0,12718431,0
56,1,1,12724521,0
56,1,2,12725975,0
56,1,3,12727398,0
56,1,8,12729035,0
57,1,0,12759509,0
57,1,1,12765599,0
57,1,2,12767052,0
57,1,3,12768475,0
57,1,8,12770112,0
58,1,0,12800587,0
58,1,1,12806677,0
58,1,2,12808130,0
58,1,3,12809553,0
58,1,7,12811190,0
58,2,0,12811191,0
58,2,1,12817226,0
58,2,4,12818656,0
58,3,0,12818657,0
58,3,1,12824692,0
58,3,4,12826113,0
58,4,0,12826114,0
58,4,1,12832145,0
58,4,2,12833602,0
58,4,3,12835017,0
58,4,5,12835031,0
58,5,0,12835032,0
58,5,1,12841062,0
58,5,4,12842502,0
58,6,0,12842503,0
58,6,1,12848538,0
58,6,2,12849991,0
58,6,3,12851406,0
58,6,5,12851429,0
58,7,0,12851430,0
58,7,1,12857465,0
58,7,2,12858918,0
58,7,3,12860333,0
58,7,5,12860341,0
58,8,0,12860342,0
58,8,1,12866377,0
58,8,4,12867795,0
58,9,0,12867796,0
58,9,1,12873830,0
58,9,4,12875245,0
58,10,0,12875246,0
58,10,1,12881276,0
58,10,2,12882734,0
58,10,3,12884148,0
58,10,5,12884150,0
58,11,0,12884151,0
58,11,1,12890182,0
58,11,2,12891635,0
58,11,3,12893054,0
58,11,5,12893075,0
58,12,0,12893076,0
58,12,1,12899107,0
58,12,2,12900560,0
