invocation,candidate,exit,duration_us
146,1,accept,10619
147,1,w0,9001
147,2,z,7472
147,3,z,7467
147,4,accept,10540
148,1,accept,10615
149,1,z,7520
149,2,accept,10549
150,1,w0,8998
150,2,z,7461
150,3,z,7452
150,4,w0,8937
150,5,w0,8914
150,6,w0,8904
150,7,accept,10545
151,1,z,7528
151,2,z,7477
151,3,accept,10548
152,1,z,7525
152,2,z,7478
152,3,z,7454
152,4,w0,8943
152,5,accept,10541
153,1,accept,10603
154,1,z,7537
154,2,accept,10547
155,1,z,7531
155,2,w0,8910
155,3,w0,8917
155,4,accept,10541
156,1,z,7536
156,2,w0,8918
156,3,accept,10540
157,1,z,7533
157,2,w0,8950
157,3,accept,10540
158,1,w0,8984
158,2,w0,8903
158,3,w0,8941
158,4,accept,10541
159,1,accept,10603
160,1,accept,10603
161,1,z,7532
161,2,z,7487
161,3,z,7468
161,4,accept,10548
162,1,z,7515
162,2,w0,8931
162,3,z,7454
162,4,z,7461
162,5,accept,10540
163,1,z,7508
163,2,w0,8947
163,3,z,7472
163,4,z,7456
163,5,z,7460
163,6,accept,10541
164,1,z,7516
164,2,w0,8926
164,3,accept,10540
165,1,z,7541
165,2,accept,10548
166,1,z,7505
166,2,accept,10548
167,1,accept,10604
168,1,accept,10603
169,1,accept,10604
170,1,z,7528
170,2,accept,10548
171,1,accept,10604
172,1,z,7551
172,2,accept,10548
173,1,accept,10603
174,1,z,7515
174,2,z,7482
174,3,z,7471
174,4,z,7480
174,5,z,7465
174,6,z,7452
174,7,w0,8918
174,8,z,7485
174,9,z,7463
174,10,accept,10540
175,1,w0,8997
175,2,accept,10541
176,1,z,7519
176,2,w0,8936
176,3,accept,10540
177,1,z,7514
177,2,w0,8914
177,3,accept,10540
178,1,z,7521
178,2,w0,8916
178,3,w0,8919
178,4,z,7457
178,5,w0,8904
178,6,z,7451
178,7,z,7457
178,8,z,7458
178,9,w0,8913
178,10,accept,10540
179,1,accept,10604
180,1,z,7506
180,2,w0,8933
180,3,w0,8933
180,4,accept,10540
181,1,w0,8985
181,2,z,7476
181,3,w0,8929
181,4,z,7458
181,5,w0,8926
181,6,accept,10540
182,1,z,7534
182,2,w0,8918
182,3,z,7480
182,4,w0,8939
182,5,z,7462
182,6,z,7469
182,7,z,7467
182,8,z,7465
182,9,z,7450
182,10,z,7487
182,11,w0,8940
182,12,accept,10540
183,1,z,7524
183,2,z,7445
183,3,w0,8943
183,4,accept,10540
184,1,accept,10603
185,1,w0,8971
185,2,w0,8907
185,3,z,7458
185,4,w0,8919
185,5,w0,8909
185,6,accept,10540
186,1,z,7536
186,2,w0,8910
186,3,w0,8909
186,4,w0,8943
186,5,accept,10540
187,1,z,7520
187,2,w0,8925
187,3,accept,10540
188,1,z,7508
