replicate,mode,period_ms,acq_index,start_off_us,duration_us,skipped
1,inline,100,1593,-1,0,1
1,inline,100,1594,-1,0,1
1,inline,100,1595,-1,0,1
1,inline,100,1596,-1,0,1
1,inline,100,1597,-1,0,1
1,inline,100,1598,-1,0,1
1,inline,100,1601,-1,0,1
1,inline,100,1611,-1,0,1
1,inline,100,1621,-1,0,1
1,inline,100,1622,-1,0,1
1,inline,100,1631,-1,0,1
1,inline,100,1632,-1,0,1
1,inline,100,1633,-1,0,1
1,inline,100,1634,-1,0,1
1,inline,100,1635,-1,0,1
1,inline,100,1636,-1,0,1
1,inline,100,1637,-1,0,1
1,inline,100,1638,-1,0,1
1,inline,100,1641,-1,0,1
1,inline,100,1642,-1,0,1
1,inline,100,1651,-1,0,1
1,inline,100,1652,-1,0,1
1,inline,100,1653,-1,0,1
1,inline,100,1654,-1,0,1
1,inline,100,1655,-1,0,1
1,inline,100,1656,-1,0,1
1,inline,100,1661,-1,0,1
1,inline,100,1662,-1,0,1
1,inline,100,1671,-1,0,1
1,inline,100,1672,-1,0,1
1,inline,100,1673,-1,0,1
1,inline,100,1674,-1,0,1
1,inline,100,1675,-1,0,1
1,inline,100,1676,-1,0,1
1,inline,100,1677,-1,0,1
1,inline,100,1681,-1,0,1
1,inline,100,1682,-1,0,1
1,inline,100,1683,-1,0,1
1,inline,100,1684,-1,0,1
1,inline,100,1691,-1,0,1
1,inline,100,1692,-1,0,1
1,inline,100,1701,-1,0,1
1,inline,100,1711,-1,0,1
1,inline,100,1721,-1,0,1
1,inline,100,1722,-1,0,1
1,inline,100,1731,-1,0,1
1,inline,100,1741,-1,0,1
1,inline,100,1742,-1,0,1
1,inline,100,1751,-1,0,1
1,inline,100,1752,-1,0,1
1,inline,100,1753,-1,0,1
1,inline,100,1754,-1,0,1
1,inline,100,1755,-1,0,1
1,inline,100,1756,-1,0,1
1,inline,100,1757,-1,0,1
1,inline,100,1758,-1,0,1
1,inline,100,1761,-1,0,1
1,inline,100,1771,-1,0,1
1,inline,100,1781,-1,0,1
1,inline,100,1782,-1,0,1
1,inline,100,1791,-1,0,1
1,inline,100,1801,-1,0,1
1,inline,100,1802,-1,0,1
1,inline,100,1803,-1,0,1
1,inline,100,1804,-1,0,1
1,inline,100,1805,-1,0,1
1,inline,100,1811,-1,0,1
1,inline,100,1812,-1,0,1
1,inline,100,1813,-1,0,1
1,inline,100,1814,-1,0,1
1,inline,100,1815,-1,0,1
1,inline,100,1816,-1,0,1
1,inline,100,1821,-1,0,1
1,inline,100,1822,-1,0,1
1,inline,100,1823,-1,0,1
1,inline,100,1831,-1,0,1
1,inline,100,1832,-1,0,1
1,inline,100,1833,-1,0,1
1,inline,100,1834,-1,0,1
1,inline,100,1835,-1,0,1
1,inline,100,1841,-1,0,1
1,inline,100,1842,-1,0,1
1,inline,100,1843,-1,0,1
1,inline,100,1844,-1,0,1
1,inline,100,1845,-1,0,1
1,inline,100,1846,-1,0,1
1,inline,100,1847,-1,0,1
1,inline,100,1848,-1,0,1
1,inline,100,1849,-1,0,1
1,inline,100,1850,-1,0,1
1,inline,100,1851,-1,0,1
1,inline,100,1852,-1,0,1
1,inline,100,1854,-1,0,1
1,inline,100,1855,-1,0,1
1,inline,100,1856,-1,0,1
1,inline,100,1861,-1,0,1
1,inline,100,1862,-1,0,1
1,inline,100,1863,-1,0,1
1,inline,100,1864,-1,0,1
1,inline,100,1865,-1,0,1
1,inline,100,1866,-1,0,1
1,inline,100,1867,-1,0,1
1,inline,100,1871,-1,0,1
1,inline,100,1872,-1,0,1
1,inline,100,1873,-1,0,1
1,inline,100,1874,-1,0,1
1,inline,100,1881,-1,0,1
1,inline,100,1882,-1,0,1
1,inline,100,1883,-1,0,1
1,inline,100,1891,-1,0,1
1,inline,100,1901,-1,0,1
1,inline,100,1902,-1,0,1
1,inline,100,1911,-1,0,1
1,inline,100,1921,-1,0,1
1,inline,100,1922,-1,0,1
1,inline,100,1931,-1,0,1
1,inline,100,1932,-1,0,1
1,inline,100,1933,-1,0,1
1,inline,100,1934,-1,0,1
1,inline,100,1935,-1,0,1
1,inline,100,1941,-1,0,1
1,inline,100,1951,-1,0,1
1,inline,100,1952,-1,0,1
1,inline,100,1953,-1,0,1
1,inline,100,1961,-1,0,1
1,inline,100,1962,-1,0,1
1,inline,100,1971,-1,0,1
1,inline,100,1981,-1,0,1
1,inline,100,1982,-1,0,1
1,inline,100,1991,-1,0,1
1,inline,100,1992,-1,0,1
1,inline,100,1993,-1,0,1
1,inline,100,1994,-1,0,1
1,inline,100,1995,-1,0,1
1,inline,100,2001,-1,0,1
1,inline,100,2002,-1,0,1
1,inline,100,2003,-1,0,1
1,inline,100,2004,-1,0,1
1,inline,100,2005,-1,0,1
1,inline,100,2006,-1,0,1
1,inline,100,2011,-1,0,1
1,inline,100,2012,-1,0,1
1,inline,100,2013,-1,0,1
1,inline,100,2021,-1,0,1
1,inline,100,2022,-1,0,1
1,inline,100,2023,-1,0,1
1,inline,100,2031,-1,0,1
1,inline,100,2032,-1,0,1
1,inline,100,2033,-1,0,1
1,inline,100,2034,-1,0,1
1,inline,100,2035,-1,0,1
1,inline,100,2041,-1,0,1
1,inline,100,2042,-1,0,1
1,inline,100,2051,-1,0,1
1,inline,100,2052,-1,0,1
1,inline,100,2053,-1,0,1
1,inline,100,2054,-1,0,1
1,inline,100,2055,-1,0,1
1,inline,100,2061,-1,0,1
1,inline,100,2071,-1,0,1
1,inline,100,2072,-1,0,1
1,inline,100,2073,-1,0,1
1,inline,100,2074,-1,0,1
1,inline,100,2075,-1,0,1
1,inline,100,2076,-1,0,1
1,inline,100,2077,-1,0,1
1,inline,100,2078,-1,0,1
1,inline,100,2079,-1,0,1
1,inline,100,2080,-1,0,1
1,inline,100,2081,-1,0,1
