board,run,mode,period_ms,replicate,bin,count
rp2040_1,run_03,worker,100,1,28,0
rp2040_1,run_03,worker,100,1,29,0
rp2040_1,run_03,worker,100,1,30,0
rp2040_1,run_03,worker,100,1,31,0
rp2040_1,run_03,worker,100,1,32,0
rp2040_1,run_03,worker,100,1,33,0
rp2040_1,run_03,worker,100,1,34,0
rp2040_1,run_03,worker,100,1,35,0
rp2040_1,run_03,worker,100,1,36,0
rp2040_1,run_03,worker,100,1,37,0
rp2040_1,run_03,worker,100,1,38,0
rp2040_1,run_03,worker,100,1,39,0
rp2040_1,run_03,worker,100,1,40,0
rp2040_1,run_03,worker,100,1,41,0
rp2040_1,run_03,worker,100,1,42,0
rp2040_1,run_03,worker,100,1,43,0
rp2040_1,run_03,worker,100,1,44,0
rp2040_1,run_03,worker,100,1,45,0
rp2040_1,run_03,worker,100,1,46,0
rp2040_1,run_03,worker,100,1,47,0
rp2040_1,run_03,worker,100,1,48,0
rp2040_1,run_03,worker,100,1,49,0
rp2040_1,run_03,worker,100,1,50,0
rp2040_1,run_03,worker,100,1,51,0
rp2040_1,run_03,worker,100,1,52,0
rp2040_1,run_03,worker,100,1,53,0
rp2040_1,run_03,worker,100,1,54,0
rp2040_1,run_03,worker,100,1,55,0
rp2040_1,run_03,worker,100,1,56,0
rp2040_1,run_03,worker,100,1,57,0
rp2040_1,run_03,worker,100,1,58,0
rp2040_1,run_03,worker,100,1,59,0
rp2040_1,run_03,worker,100,1,60,0
rp2040_1,run_03,worker,100,1,61,0
rp2040_1,run_03,worker,100,1,62,0
rp2040_1,run_03,worker,100,1,63,0
rp2040_1,run_03,worker,100,1,64,0
rp2040_1,run_03,worker,100,1,65,0
rp2040_1,run_03,worker,100,1,66,0
rp2040_1,run_03,worker,100,1,67,0
rp2040_1,run_03,worker,100,1,68,0
rp2040_1,run_03,worker,100,1,69,0
rp2040_1,run_03,worker,100,1,70,0
rp2040_1,run_03,worker,100,1,71,0
rp2040_1,run_03,worker,100,1,72,0
