replicate,mode,period_ms,hist_bucket_us,start_jitter,completion_response
3,worker,1000,11000,0,0
3,worker,1000,11500,0,0
3,worker,1000,12000,0,0
3,worker,1000,12500,0,0
3,worker,1000,13000,0,0
3,worker,1000,13500,0,0
3,worker,1000,14000,0,0
3,worker,1000,14500,0,0
3,worker,1000,15000,0,0
3,worker,1000,15500,0,0
0,baseline,0,0,60000,60000
0,baseline,0,500,0,0
0,baseline,0,1000,0,0
0,baseline,0,1500,0,0
0,baseline,0,2000,0,0
0,baseline,0,2500,0,0
0,baseline,0,3000,0,0
0,baseline,0,3500,0,0
0,baseline,0,4000,0,0
0,baseline,0,4500,0,0
0,baseline,0,5000,0,0
0,baseline,0,5500,0,0
0,baseline,0,6000,0,0
0,baseline,0,6500,0,0
0,baseline,0,7000,0,0
0,baseline,0,7500,0,0
0,baseline,0,8000,0,0
0,baseline,0,8500,0,0
0,baseline,0,9000,0,0
0,baseline,0,9500,0,0
0,baseline,0,10000,0,0
0,baseline,0,10500,0,0
0,baseline,0,11000,0,0
0,baseline,0,11500,0,0
0,baseline,0,12000,0,0
0,baseline,0,12500,0,0
0,baseline,0,13000,0,0
0,baseline,0,13500,0,0
0,baseline,0,14000,0,0
0,baseline,0,14500,0,0
0,baseline,0,15000,0,0
0,baseline,0,15500,0,0
